Q01217|3zzf
D0VWX9|2pyy
O95749|2q80
Q52L64|2r1w
P68693|2v54
P21784|2v87
P0A953|2vb8
P0A953|2vba
P24182|2w6q
A6XFF7|2wlz
Q0TR53|2x0y
Q8I4S1|2yof
Q9F4L3|3d7k
P45040|3iqg
P38398|3k0h
P29965|3lkj
B1YAL1|3t2c
9942|4bc5
O68183|4dfb
O68183|4dfu
P0AGJ7|4jal
O88587|4p58
C5MK56|4prd
C5MK56|4prh
Q9NTG7|4v1c
A9D857|4z2p
P47735|5ixt
P53131|5jpt
P49773|5km3
Q9RFR0|2bo4
Q8WUM4|2xs8
P02829|2yga
Q9T0I8|3lgs
O15357|4a9c
E9P5T5|4io4
T2I3Q3|4ocq
Q9UGL1|5a1f
Q7NDN8|5l4e
B3U3M3|5ulp
P09211|13gs
P0A884|1f4f
Q15075|1joc
Q13114|1l0a
P22887|1mn9
P18891|1ofz
P01723|1sm3
5315|1t5a
Q8IUQ4|2a25
P02701|2a5c
P18031|2f6t
P54939|2k00
Q8TE68|2rol
Q89ZI2|2xm2
O75164|2ybk
O75164|2ybp
P11172|3ewu
P56817|3exo
Q42975|3f5k
P11172|3l0k
Q7NDN8|3p50
P30967|3tcy
P30967|3tk2
P02791|3u90
Q9GK12|3umq
P00760|4abf
D6D1V7|4ad3
Q9HD26|4e35
P65249|4hej
P00749|4os7
P03252|4pid
P27709|4ynl
P14780|5cuh
P9WMC0|5ezh
P36639|5fsl
A8EVM5|5kmh
23476|5m39
P36639|5ngr
23476|5ti2
Q15047|6bhe
Q9ULH1|2rqu
P00489|3mtb
Q6T755|3uj9
Q92794|3v43
P52699|4c1f
Q8ZQ06|4hzm
Q64823|4k6v
P00749|4os5
P21447|4xwk
Q9H8M2|5ji8
P31947|5moc
P00800|5n34
P43220|5vex
P18031|1c85
O60341|2xaf
P10275|2yhd
P0C2P0|2z3h
Q08602|3c72
Q9BUL8|3rqg
23476|4hbv
P40416|4myh
Q9ZWP8|4psb
Q8Y8D7|5dhr
P0AA27|5e4w
Q9UIF8|5e73
P26281|5etl
Q6VE93|5klp
Q17U16|5wic
P83512|2w12
Q51815|2w87
P00734|3qtv
Q9UDY8|4i1r
P41811|4j78
P15917|4pkw
P54577|4q93
Q15370|4w9c
Q9BQI5|5awu
A9XG43|5dpa
------|5jq9
P40090|5w94
O00408|6b98
P18031|1bzj
P35030|1h4w
P56839|1m1b
P18031|1t49
P04587|2aoj
P30113|2ca8
P21836|2ha2
Q96T88|2l3r
Q9NXA8|2nyr
P15319|2xg5
Q24451|3ddf
P00734|3egk
P62944|3h1z
P00520|3mss
P11940|3pkn
Q9BZP6|3rme
P37231|3sz1
P21836|4b84
Q9K169|4hso
O14646|4o42
Q6PL18|4tt2
Q8TCD5|4yih
E0SJQ4|4z90
P02919|5hl9
P02919|5hld
------|5j1r
P9WMN1|5lhu
P9WMC1|5myr
P02768|6ezq
P77173|1f47
Q43088|2h23
P24182|2w6m
Q13526|3oob
P05230|3ud9
D0ZP76|3vw0
D0ZP76|3vw1
Q5EP34|4e5g
B0VD92|4gkh
O13833|4nku
P37231|4xum
Q07010|5jsq
P00760|1c5p
P62593|1nyy
1017|KRLDJIYFFHNEMM-KTHKBMNISA-O
P78986|1wn6
P05020|1xge
P0AG18|2nsl
P29029|2uy4
O53512|2ypo
Q9L5C8|3g35
P29375|3gl6
O67854|3qs4
Q7D785|3rv6
O15392|3uef
Q8IZD2|4l58
------|4lar
23476|4o75
Q9HGR1|4ymg
Q6PL18|5a5q
P04637|5aoj
P55201|5eq1
Q92831|5fe9
B4EKM5|5fus
P9WP25|5j5d
Q99QC1|5k1d
P18031|5kab
Q9NWT6|5op6
23476|5ti6
Q8N884|5vdt
U5Q3T2|5w99
P32361|2rio
Q6T755|3ujd
P04637|4agp
P41811|4j84
P03372|4mgd
P06730|4tpw
P91645|4z89
Q8IKT5|5jr6
O88703|5khg
Q9K2N0|5lch
P00734|1c5n
P18031|1c86
Q9UKM7|1fo2
P00489|1gpy
P71278|1h60
Q62760|1om2
P00491|1v41
Q07343|1xos
Q48255|2c4w
P44542|2cex
Q89FH0|2dw7
P52700|2fu8
P00734|2h9t
Q8Y8D7|2i2c
P00760|2j9n
O39930|2jc0
P80226|2k62
Q12888|2mwo
P07900|2qfo
Q13526|2xp6
Q7CRA4|2y2p
Q8WSF8|2y54
Q9BZP6|2ybt
Q8I1R6|3dg8
B1UXN2|3h21
O75530|3ij1
A1CII2|3k5i
P08519|3kiv
P11086|3kr0
P18674|3lm1
P00760|3nkk
A8C927|3p2k
P01901|3pab
D0VX21|3suw
Q9NRG4|3tg5
O15392|3uij
P00523|3uqf
Q9HZN8|3uxm
P00523|4fic
P02879|4huo
P56273|4j7d
Q79791|4j93
P27694|4luz
23476|4lzr
23476|4o7b
23476|4uiz
O15496|4uy1
A5U9I4|5ipa
P47735|5ixq
B8QIQ9|5lsc
P36124|5tdw
Q9IAT9|5vfj
3795|5wbm
P00766|6gch
P00760|1v2t
Q12888|2ig0
P42568|2ndg
P00489|2qrh
O25743|3fnm
O67854|3gwu
B1UXN2|3h23
Q8IWV8|3ny3
O67854|3qs5
P29473|4cu1
Q13009|4gvc
Q05097|4ljh
P0C6V6|5gwz
P20581|5his
P49773|5kma
P35120|5otc
Q17U16|5wip
P00720|184l
Q9T0V5|1h7a
P0A080|1qxz
1017|XKUMPKAQJSZHFU-QORCZRPOSA-N
P22756|1vso
P0AFC0|2o1c
Q9GPQ4|3b9g
P39958|3cpj
Q9UPN6|3d9k
P00489|3ebo
Q8F3Q1|3f6g
Q8F3Q1|3f6h
Q9NQR1|3f9w
Q8NNK8|3oka
Q8NNK8|3okp
Q7KZF4|3omg
P66992|3r6c
D6R8X8|4d1a
P00811|4jxw
P26281|4m5l
P69834|4nan
23476|4o70
23476|4o7a
Q96PN6|4oyi
O96935|4zw7
Q9VIH7|5hjq
P05205|6asz
P15873|6b8i
P35558|1m51
P00760|1v2o
P00760|1v2p
O94925|3vp4
P02743|4ayu
Q5EP34|4e5j
Q9HYN5|5a3o
Q83883|5dgj
A9XG43|5dp5
P00918|5gmn
P41182|5mw6
P01008|1br8
P00760|1bty
P00760|1ce5
P13956|1qaq
P26281|1ru1
P61823|1w4p
Q96Y14|2e2p
P00953|2ov4
Q9AIU0|2uxu
P43889|2vd4
P0C6E9|2w68
Q9NWT6|2wa4
Q99YP5|2wyi
P17931|2xg3
Q00610|2xzg
P23874|3dnt
P63086|3erk
P00523|3f3u
P11172|3g3d
P06280|3gxt
Q8WLS4|3hg1
Q581W1|3jqg
Q903N5|3kfn
Q7M0R2|3lcv
Q08211|3llm
Q60770|3puk
P66992|3qs8
Q12959|3rl7
P05230|3ud7
O60341|3zmz
P26663|4ih6
Q13451|4jfi
P00811|4jxs
Q9CPU0|4kyk
P26281|4m5m
Q13009|4nxq
23476|4o71
P00720|4w55
Q3UKX1|5ful
P21836|5fum
P22734|5k03
P00489|3g2j
P19812|3nim
D0ZP76|3vw2
Q02647|4ds1
P00749|4mnx
Q9K2N0|5lcf
P00517|1q8t
A9JQL9|3acw
P00760|3atl
P03369|3hdk
Q4ACU6|3o5n
P00760|3rxe
Q9H2K2|3twv
Q6Q783|4au7
Q54113|4cjn
P09038|4oef
Q6DHI5|4uub
A5U2S7|4wop
P91645|4z8a
O14684|5bqg
Q1RBS0|5lne
P81947|5lp6
P71278|1h62
P06737|1l5r
P04585|1rti
P22629|1str
P07900|1uyk
Q16769|2afw
O14646|2b2v
P46922|2b4l
Q84G06|2dua
Q9Y3R4|2f0z
P00489|2qn1
P01892|2x4o
P01892|2x4r
P22681|2y1n
O60341|3abt
Q07157|3cyy
Q24451|3d50
P31947|3iqu
P0AD64|3mkf
Q9BZP6|3rm9
Q9BUL8|3rqe
P00489|3t3i
P56817|3vv8
P0A722|4j09
P62330|4kax
Q9HV14|4kox
Q5SLE7|4odp
A5J299|4uoh
Q9H7B4|5ccl
P9WFX2|5cwa
P0DMV8|5mkr
P0DMV8|5mks
3795|5wbr
Q15554|5wqd
P07173|6prc
Q9H0M4|2rr4
C8MLE4|4ad6
P11838|1eed
P00775|1oss
P0AG18|2nsj
P18031|3eb1
P00489|3g2k
P02829|4as9
Q96WV5|4j8b
Q9HD26|4k78
Q3UKX1|5fwa
Q99QC1|5k1f
Q76353|5kgw
P27986|1azg
P00760|1bju
P00760|1ghz
P0A080|1qxy
P00469|1tsv
P33038|1ybg
Q6XT21|2ly0
P18031|2nta
Q52L64|2r1x
Q7CRA4|2y2j
P01837|3bpc
P00517|3dnd
O75530|3iiy
P0A5J2|3iu7
Q13526|3kce
C3L5T6|3mlb
P39099|3stj
Q88E47|4aq6
O05309|4de7
P31947|4dhs
Q9UM07|4dkt
Q9Y233|4llp
23476|4lzs
Q8NVG0|4m7x
M9V5A4|4mk1
Q9KPL5|4pb2
P09960|5bpp
Q5NBT9|5c6v
P9WMC0|5j3l
Q14653|5jeo
Q05320|5jq7
P01892|5jzi
Q07010|5k51
Q76353|5kgx
P00489|1b4d
P04637|4ago
Q6XHB2|4yzn
P60472|5cqj
Q96RI1|5iaw
P12004|5iy4
P03369|1aid
P06968|1dud
P03472|1f8e
P16753|1njt
P07900|1uy9
P15474|1v1j
P17169|1xff
Q9KWT6|1y3p
P23141|1ya4
P22216|2a0t
Q8ZVF7|2gl0
P62617|2gzl
P52700|2hb9
P06968|2hr6
Q7B8V4|2ilp
Q08638|2jal
Q05543|2l0i
Q13185|2l11
P62937|2ms4
Q2PS28|2pwg
Q13526|2xp8
Q96FJ2|2xqq
P00942|2ypi
Q6FHN1|3ehw
P23874|3fbr
P07900|3ft5
P17707|3h0v
P56817|3kmx
P11086|3kqy
P61823|3lxo
P66992|3r88
P00722|3vd4
P34913|3wk5
P0A4Z6|4ciw
P31947|4dht
Q5EP34|4e5f
P15144|4fys
P02879|4hup
Q9C0B1|4ie5
Q8TDX5|4ih3
E9P5T5|4io6
P05091|4kwf
P15917|4pkr
P15917|4pks
I6Y8B9|4rlu
Q8WTS6|5ayf
P0A6R0|5bnm
P55201|5d7x
P52699|5ewa
Q05543|5lvf
Q83883|5wej
Q9WXQ8|3a1s
Q9WXQ8|3a1t
Q5G940|3cf9
Q72497|3ds0
Q9HD26|4k6y
Q9HD26|4nmo
P15917|4pkt
A9XG43|5dp6
Q9QLL6|5efa
P49435|5vjp
P19491|1ftk
Q9BH77|1nhw
P07900|1uyh
Q000H7|3r0y
D0ZP76|3vvy
O00170|4aif
Q643C8|4kif
Q9Y6F1|4l7n
P26281|4m5j
A5J299|4uof
P25054|4yje
P9WMC8|5d1r
Q9BV86|5e1b
G8G134|5kv8
Q14160|5vwi
P00720|186l
P22887|1bux
P18031|1c83
P18031|1ecv
P01903|1jws
P15034|1n51
P00760|1o2p
P07584|1qji
P23254|1tkc
O35310|1vkj
P00811|1xgi
Q9L5C8|1ymx
Q97ZE2|2j4k
O57203|2j87
Q24451|2ow7
P00766|2p8o
P03472|2qwd
P00811|2r9x
Q89ZI2|2w4x
Q8A5N9|2ww2
P26663|3cj2
Q969R5|3f70
P04150|3h52
P00469|3ik1
Q14676|3k05
P11086|3kpw
P33038|3kqa
O97447|3ohi
Q64823|3qnd
P56817|3ru1
Q7D785|3rv7
P31016|3wp1
Q05097|3zyf
O35820|4fyh
P00698|4hpi
P48825|4iic
P53676|4ikn
P56273|4j7e
Q2N379|4lq9
Q9HD26|4nmt
K4KA16|4ok6
U6NCW5|4ovh
P00918|4q87
P00720|4w57
P0AEX9|4wmx
Q89ZI2|5abf
Q9QLL6|5efc
C9Z6T8|5ewk
H2FH31|5f90
P00746|5fbe
Q9Y657|5jsg
Q13093|5lyy
P37231|5u5l
P00489|6gpb
P00489|3g2i
P14324|5djr
Q9H8M2|5i40
------|5myd
P34913|1zd5
O95363|3hfv
P42574|3kjf
P10275|3l3z
G5EG62|4i2z
Q7DDU0|4ipj
P00749|4os4
G7J032|4q0k
I6Y8B9|4rlw
Q9YFY3|4rra
P31947|4y3b
------|5knv
P10275|2ylo
P08559|3exh
O75530|3ij0
P05089|3lp4
Q3KK31|3pjt
Q3KK31|3pju
Q9Y6F1|4l7o
P34913|5alt
P71278|1h61
Q9T0V5|1h79
P10145|1ilq
P19491|1p1q
P04287|1z6f
P04587|2aoc
Q08638|2j77
Q9UBZ9|2lsk
Q8AAK6|2vo5
P02768|3cx9
Q24451|3d4z
P27001|3hfz
O25363|3juk
B8F653|3m8u
P19812|3nij
P88911|3njq
O67854|3qs6
O35795|4cd1
O76041|4f14
P28327|4l9i
P12497|4o0j
23476|4o7f
C5YH12|4pgh
U6NCW5|4pnu
Q24117|4qh8
Q9BSQ5|4wj7
P37571|5hbn
Q86U86|5ii2
P49773|5ipc
Q834R3|5j7w
23476|5ku3
P07173|5prc
Q5G940|3cf8
Q9GZT9|3oui
6046|4a9i
P49642|4lil
O26232|1km3
P19491|1n0t
P55210|3ibc
Q396C9|3juq
Q76353|3lpt
P19812|3nin
P30622|3rdv
P00489|3t3d
P06782|3te5
O00170|4apo
M2L4D8|4c0r
Q15554|4rqi
Q8IEW2|5l8a
E1C6P3|5xw6
P18031|1bzc
P42566|1ff1
P00918|1h4n
P32890|1jqy
P25491|1nlt
P77173|1y2f
Q9UUB1|2a58
P00734|2c93
P0AE18|2ggb
P37487|2haw
O15151|2n06
P24182|2w70
Q965D7|3azb
Q873X9|3chd
P09211|3dgq
P18031|3eax
Q13526|3i6c
P38398|3k15
Q13526|3ntp
Q7D785|3rv8
Q7D785|3rv9
P30838|3szb
P61157|3ukr
P00722|3vdc
P21836|4b81
I6Y8T4|4c73
Q00610|4g55
P98170|4j47
P27487|4n8d
P14735|4re9
23476|5d3t
Q06124|5ehp
P52700|5evk
P9WMC0|5ezg
P9WMC0|5f1j
Q99JX3|5gmi
Q92793|5lpl
P9WMC1|5mxv
------|5u51
Q93009|5whc
P09211|5x79
A6TF32|2wib
Q7WT50|2y7k
P31947|3iqj
P11444|3uxk
P09391|3zmj
Q9C0B1|4cxy
Q8WXF7|4ido
P56817|4lc7
Q04477|5t6j
P01834|6azl
P03176|1e2k
P41182|1r2b
P09211|2gss
O60760|2vd0
O49235|2vo4
Q9Y3Y4|2vpe
O95166|3dow
P16154|4dmw
P30405|4j5e
Q45075|4lbp
P00749|4mnv
Q9HD26|4nms
P20591|4p4s
A5F6D4|4qht
P00952|4ts1
O75164|5f32
O75530|5h13
Q8BHN3|5iee
P61823|1jn4
Q70I53|2gh6
Q10714|2x95
Q12051|2z50
P0AD64|3mxr
O94925|3vp3
Q3U8K7|4bup
P29473|4cft
P0A4Z6|4civ
Q460N5|4f1q
Q9HD26|4nmv
Q8IUH5|5w7i
P00497|1ao0
P00747|1cea
Q5SHN5|1dar
P31948|1elr
P00734|1gj5
P00525|1nlp
P00734|1o5g
P00959|1pg2
P15917|1pwq
P74881|1t3t
P00469|1tsy
P01811|1uz8
P00734|2pks
Q8AAK6|2vjx
Q89ZI2|2w67
Q2CEE3|2xsb
Q8I4S1|2yoh
O32253|3bxg
Q96IY4|3d67
Q08602|3hxf
O15151|3lbj
Q8WTS6|3m5a
Q8I384|3mmr
P56073|3n2e
P0A4Z6|3n87
P56817|3udr
Q7D785|3veh
Q76353|3zsq
P16581|4c16
O92972|4j04
P00918|4jsa
O96935|4k5l
P17931|4lbl
Q96PN6|4oym
Q9EQY0|4pl5
I6Y8B9|4rlt
Q10471|5ajo
Q9H2K2|5al3
Q0S6D0|5cyv
P43621|5fjx
A5U9I4|5ioz
P22734|5k05
P00797|5sxn
P00797|5sy2
23476|5ti7
Q672W7|2ew6
P51141|2kaw
O76290|2wd7
P02638|3lle
Q99W87|3qbc
O15392|3uik
O60341|3zn0
P04190|4c1c
P0A3F4|4c3k
P00918|4e3g
D0EM77|4in9
B8ZYW1|4ozl
Q9K2N0|5le1
O75164|2gfa
Q9WYW0|2h2h
P02766|2rox
Q2G015|2vr3
A3DK57|2w47
Q7WT50|2y7w
Q13451|4jfl
P0A4X6|4mqp
B5ABY0|4re2
P52292|4wv6
Q64610|5dlv
P22216|1j4p
P22216|1k3n
P42574|3gjs
P31016|3wp0
A5K1A2|4b12
P05050|4jht
Q9UIF8|4qc1
F2WR39|4tsx
Q15370|4w9d
Q64823|4xqa
Q41931|5gj9
P10845|5v8p
P18031|1c84
Q01693|1cp6
Q13526|1f8a
P00749|1fv9
P08263|1gsf
P25910|1hlk
P07824|1hqf
Q9KWU8|1i6v
P63316|1ih0
P03474|1inf
Q92831|1jm4
Q9NZ52|1jpl
P25910|1kr3
P24247|1nc3
P03472|1nnb
P00760|1o35
Q9UBU9|1oai
P00784|1pip
P00760|1ql7
P02928|1r6z
O34911|1sbr
P22629|1sts
P00735|1uvu
O05891|1w2h
Q9RVD6|1yid
P30685|1zhl
P34179|2aig
P18031|2bgd
P22216|2jqi
Q9Y6N9|2kbs
P00523|2oiq
O33853|2oym
P11172|2qcn
P48499|2vxn
P48632|2w6u
P48632|2w76
P09237|2y6c
P02766|3cfn
P0A988|3d1g
Q5G940|3dp1
Q24117|3dvp
D0VX20|3gbe
B0B0V1|3k02
Q7KZF4|3omc
P01901|3p9m
P26446|3pax
A8DG50|3sv9
Q2FXC2|3ufa
O15392|3uii
P00523|3uqg
P56817|4b78
P00889|4cts
P81461|4czs
Q6TUJ5|4iu4
P67475|4lv4
K0BGQ2|4mdt
Q38C91|4mw7
P19793|4n5g
P19793|4n8r
Q504Y3|4o62
23476|4o7c
Q9FCE4|4oi6
Q9I0A4|4p74
Q9H2K2|4pnq
Q9BY41|4rn1
P53582|4u6c
Q83883|4xbb
Q0T8Y8|4xoe
A7ZSI4|4xsx
P36673|4xxh
P0A7Z4|4zh2
Q5NBT9|5c7e
Q2YSF8|5dl1
P52700|5evb
P52700|5evd
P35120|5itp
23476|5lj2
Q92793|5lpj
P9WMC1|5myl
O62301|5nkk
Q14145|5x54
P53930|6axj
P00690|1ppi
Q5G940|2glp
P26663|2i1r
P37231|3ads
P0AD64|3mxs
P01897|3tfk
P05230|3uda
P04637|4agq
P13674|4btb
Q9L5C8|4dds
P26281|4m5g
P23639|4qz4
P19491|4u4x
P03433|4yyl
P34913|5am2
B6AA20|5fom
Q96RI1|5ick
Q26997|1fsg
P03003|1u9l
P07900|2cct
P00379|2d0k
Q12959|2m3m
Q04609|2or4
Q57986|2wji
P0A3F4|2xbp
P03367|3bgc
O60678|3smq
Q9GK12|3usx
Q9Z1N2|4dow
P00772|4est
Q9Y6F1|4l7r
P33316|4mz6
Q6P6C2|4nro
P28523|4rlk
P53582|4u70
Q45222|4w4s
Q15370|4w9l
P15917|5d1s
P9WNP1|5du6
------|5ff6
P35189|5iok
P10844|1i1e
P97879|2qt5
Q970S6|3aje
P63104|3rdh
E9P5T5|4io5
Q93009|4jjq
P47709|4np9
I6Y334|4rcg
P56817|4trz
Q8IKG4|4y6s
P61964|4y7r
8805|4yat
P52293|5huy
P12004|5mlw
P69834|5mrm
P00800|5n3y
A4ZF98|5nyz
A4ZF98|5nz2
Q17U16|5wio
P41182|5x4p
Q6ZMT1|6b27
Q15047|6bhd
P19491|1m5d
------|1mfa
Q9WYW0|2h2g
Q08465|2jmj
P56817|2oht
O75381|2w85
Q00972|3tz0
Q9HC16|3v4j
P03472|4dgr
P37231|4jaz
Q9SZU7|4jym
Q05097|4lk7
P14324|4lph
Q8N3R9|4uu5
Q3TBT3|4yp1
Q4DA73|4yuz
P08514|4z7n
P08514|4z7o
23476|5d3n
Q9H8M2|5f25
Q12118|5lyn
P01834|6ayn
Q9TVW2|1dgm
P03958|1fkw
P00749|1gi8
P18031|1qxk
P02829|2brc
Q96RL1|2n9e
P00760|3aau
Q08602|3hxd
P56817|3s2o
P00918|3s76
P28905|3sxu
P61981|3uzd
Q8NHV1|3zjc
D0E0C7|4c94
A9CGA5|4euo
5594|PVPLWRIQIAZDAT-APZQELAWSA-P
Q9C0B1|4ie7
O74985|4kvm
Q6P6C2|4oct
P09038|4oeg
U6NCW5|4pnw
Q9Y5K6|4wci
P34913|4y2y
P00740|4yzu
Q9K2N0|5acx
B2ZB02|5i3a
Q8BG40|5lb7
O55239|5xvk
F7ERX8|5xvq
P61964|2h6k
P0A786|2ipo
P15085|2v77
P62993|2vwf
P02829|2yge
P00734|3f68
Q99816|3p9h
Q00972|4h7q
Q8WTS6|4j7i
P01801|5a2i
Q9Y233|5c1w
C3W5S0|5ega
O75530|5h14
------|5icy
23476|5luu
Q9WMX2|5tri
P49435|5vjn
Q8II73|2i7c
Q89ZI2|2xm1
Q88E10|2yfa
P0C512|3axm
Q396C9|3juo
Q6N8W4|4f8j
P0A884|4knz
8805|4yab
P34913|5ak3
Q83883|5dg6
A5W4E3|5hwv
Q8IEW2|5l87
P0AC14|5u12
P01834|6axp
P28720|1enu
P18031|1gfy
Q9T0I8|2qtg
O66837|3efr
Q6PKX2|3m94
P0A988|3qsb
Q8P559|3qyy
P0C6U8|3snd
P96711|3tb6
Q13451|4drk
Q9C0B1|4ie0
P00489|4mho
T2I3Q3|4ock
B7GN78|4ocv
B4EZ68|4od7
Q96RI1|4oiv
P0C7B7|4twd
P11797|4z2h
Q99JX3|5gmj
P03433|5i13
P93832|5j32
P00800|5n2t
Q9WMX2|5trh
P60568|1m48
P14751|1nw7
P00760|1yyy
Q13946|1zkl
P14900|2y1o
P02829|2ygf
P07900|2yk9
P03369|3hbo
Q8WLS4|3o4l
I6Y8T4|4c72
P00918|4cq0
A9JQL9|4f6x
P23639|4qvy
P27694|4r4q
Q6DHI5|4utv
Q8VDS3|4x3u
P01139|4xpj
P19491|5fhm
P36969|5h5s
P61960|5hkh
P03474|1b9t
P02928|1ez9
P47228|1kmy
P11456|1m6p
P61823|1o0o
P26514|1od8
P18031|1onz
P00523|1rlp
P00523|1rlq
P18031|1t4j
P26514|1v0k
P26514|1v0m
Q64512|1vj6
P00734|1w7g
O97111|1x8s
P26660|1yvx
P00883|1zaj
Q8DNV6|2am2
Q14247|2d1x
P26276|2h5a
Q96RK0|2m41
Q9UNL4|2pnx
P00489|2qrq
Q8WUM4|2r02
P00811|2r9w
P03369|3bxs
P00760|3gy4
B1UXN2|3h22
P08514|3nif
P00918|3p4v
A5HZZ9|3qw8
P00489|3syr
2185|USMHLYMJOPTZDH-VZHUZSBLSA-O
Q6T755|3ujb
O94925|3vp2
Q96T88|3zvy
P56817|4b77
O15294|4cdr
P50743|4dcs
P55212|4ejf
5594|OWSCEPVFZSTYRG-ZWDRAWMOSA-P
P01899|4iho
W6G6F5|4qsh
W6G6F5|4qsk
P23639|4qvn
E0PTS8|4rkx
P00734|4rn6
Q03555|4tk3
Q03555|4tk4
5599|AFMDITZQUYNKIA-WOZZSYNQSA-O
Q82134|4ydf
23476|5d3h
O75164|5f39
------|5iv2
Q96RI1|5q1h
P05364|5xhr
P28720|1k4h
P00760|1yp9
P61964|2h6q
P23639|3gpj
P00451|3hnb
P05804|3k4d
P19793|3ozj
Q9DBB5|4b6u
P00918|4e49
G6TGY9|4em7
P00749|4gly
A7Y7W1|4qfl
P98170|5c7d
------|5kej
O60341|5lbq
Q9K2N0|5lm6
Q93009|5ngf
P40107|5ogk
P00918|5u0e
P03366|5vqu
P32447|6f0y
Q9X6J6|1qaw
P58154|1uv6
P08567|2i5f
P00798|2web
1432|LTKITBGOAGTWPR-IIBWBHLISA-P
P07900|2yjw
P07900|2yjx
P19491|3bki
P04818|3hb8
Q13526|3kad
Q393A1|3n2c
P63104|3nkx
P00883|3tu9
Q76353|3zso
O15294|4ay6
Q9NWT6|4bio
Q460N5|4f1l
P00797|4gj6
Q00972|4h81
P0A4Z6|4kiw
P26281|4m5n
23476|4pci
Q7D2F4|4zed
O05892|5d1w
Q9CQV8|5f74
Q93009|5vsb
P14174|1gcz
P60174|1hti
Q92784|2kwn
P01892|2x4t
Q965D7|3aza
P96222|3o8g
P42264|3s9e
P34913|3wk4
P0A6Y8|4ezt
P53582|4flj
Q14145|4l7c
23476|5d3p
Q15326|5hda
P05019|1pmx
Q00955|1w2x
P00760|1y3x
P00760|1zzz
P33316|2hqu
P15498|2lct
A5HC98|2xi7
O15826|2yaz
P58154|2zjv
P00811|3bls
P11086|3kr2
Q96T88|3sow
P66940|3tao
Q53EZ4|3wuu
P52699|4c1g
P12499|4ejl
P53582|4iks
P23639|4qw0
P28907|4xjt
Q96EB6|5btr
C5Z4W3|5kva
Q96RI1|5q11
P0A6I6|6b7c
P0A6D3|1g6s
O66496|1jcx
P61823|1jvu
P05205|1kna
P14174|1ljt
Q03479|1lkx
P0A6R0|1mzs
P61823|1o0m
P35439|1pb8
Q26997|1qk3
P0A080|1qxw
P28720|1s38
P00524|1skj
P45568|1t1s
P31335|1thz
Q16769|2afx
O67648|2go4
Q57696|2gtv
Q06455|2knh
P26663|2o5d
P14174|2ooz
Q8WUM4|2r03
Q8WUM4|2r05
5599|YDBHLTXYQJXPJQ-VWFDEOOQSA-O
5599|GFRSBPLTZPBFLO-JTNSDRKUSA-O
Q5VT56|3b95
P05089|3e6k
P56817|3l5c
P56817|3msl
P14324|3n49
P22734|3ozr
O94760|3p8e
P56817|3udn
P21836|4b83
Q00972|4h85
P30967|4jpx
23476|4pce
P15494|4qip
W6E076|4qrh
P23639|4qvv
P23639|4qzw
Q15370|4w9e
P34913|5alw
P14324|5djp
O95271|5gp7
P24666|5kqg
P43220|5vew
P00749|5xg4
P50135|1jqd
Q9XZT6|1oe0
P18031|1q1m
P46937|2ltv
Q7CRA4|2y2k
P07900|3b27
O95453|3ctr
Q03164|3lqi
P02638|4fqo
------|5ufc
D9IEF7|5v83
P52732|1q0b
Q7LYW4|2f5t
P41811|2ynn
P00734|2zfp
Q5G940|3b7j
P0AEX9|3eht
P23639|3nzx
Q13526|3tc5
23476|3uvw
Q53EZ4|3wuv
P66992|4gkm
5602|YYCWORULWVTRMY-JVWLQIHWSA-O
P0AEJ4|4kp4
P26281|4m5i
A0QYW6|5ahw
P14324|5diq
Q92831|5fdz
O53580|5hm3
Q14149|5svi
Q5HSJ4|5ubg
Q01693|1ft7
P45452|1xur
P0AE18|2p9a
P00489|2qrg
P31947|3iqv
Q13526|3kag
L0N7E5|3w37
P0AES6|4duh
P48825|4iif
P53582|4u73
Q9C0B1|4zs3
P19793|5tbp
O85465|1ocq
P11797|1ogg
P60045|1oxr
P00651|1rnt
Q63J95|2ko7
P21579|2lha
Q9UGL1|2mnz
O38732|2nxm
P52700|2qdt
Q14790|3kjn
P28720|3s1g
G1C2I2|3t4p
Q9H2K2|3twr
Q460N5|3vfq
P0A6Y8|4ezz
5315|4fxf
P42620|4g0l
P61769|4ono
P01892|4qok
23476|5h21
O05205|1kll
Q7YTF7|2pmn
P11086|3kqs
P62993|3ov1
A5HZZ9|3qj0
P38862|3t7g
P49327|3tjm
P66992|3uu1
P34913|3wk6
Q05097|4a6s
P56817|4b70
23476|4bw2
P0A6Y8|4ezq
P0A6Y8|4ezr
Q05097|4lk6
P23639|4qvq
P32019|5a7j
P34913|5aia
Q8K4V4|5emb
P9WN92|5f91
P27708|5g1p
3099|5hg1
P31947|5lu2
Q96RI1|5q10
P14751|1nw5
P00760|1o2r
P25663|1ox9
P42574|1re1
R9YTM5|2mlm
P00489|3bcs
P11609|3ilq
Q2NL52|3nsq
A5HZZ9|3qiz
P56817|3rth
Q2V6H4|3wqv
P07900|4cwo
B0VD92|4few
P60472|4h2m
P14735|4ifh
Q9FV53|4je8
P66992|4m0r
P0C6U8|4mds
P23639|4qz2
Q83883|5e0j
Q9WMX2|5trk
P00918|5ty1
P00918|5ty9
Q6DRA1|5wag
E0TW95|5x13
P07173|7prc
P07378|16pk
P00950|1bq4
P04228|1f3j
P00749|1gi9
P00749|1gjd
P12724|1h1h
P35568|1irs
P00763|1j17
P00749|1o5c
